Date : 2022-07-09 13:57:37
Directory : c:\Users\syhie\IdeaProjects\onlinebiz
Total : 301 files,  20917 codes, 4062 comments, 3510 blanks, all 28489 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\Entrust.java                                | Java     |         39 |         12 |         16 |         67 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustContent.java                         | Java     |         21 |         10 |         14 |         45 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustOutline.java                         | Java     |         36 |         10 |         14 |         60 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustQuote.java                           | Java     |         32 |         19 |         24 |         75 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustReview.java                          | Java     |         16 |          7 |         11 |         34 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustStage.java                           | Java     |         14 |         12 |         14 |         40 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\EntrustStatus.java                          | Java     |         11 |          2 |          6 |         19 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\entrust\SoftwareDocReview.java                      | Java     |         26 |         12 |         18 |         56 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\sample\Sample.java                                  | Java     |         16 |          5 |          3 |         24 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\sample\SampleCollection.java                        | Java     |         18 |          6 |          4 |         28 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\sample\SampleCollectionStage.java                   | Java     |          7 |          5 |          3 |         15 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\Project.java                           | Java     |         16 |          8 |          7 |         31 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\ProjectBaseInfo.java                   | Java     |         29 |          8 |          7 |         44 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\ProjectFormIds.java                    | Java     |         19 |          9 |          5 |         33 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\ProjectOutline.java                    | Java     |         25 |          7 |          6 |         38 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\ProjectStage.java                      | Java     |         18 |         19 |         16 |         53 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\project\ProjectStatus.java                     | Java     |         11 |          2 |          5 |         18 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\report\Report.java                             | Java     |         64 |         42 |          8 |        114 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\report\SoftwareEnvironment.java                | Java     |         14 |          3 |          3 |         20 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\report\TestContent.java                        | Java     |         14 |          3 |          3 |         20 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\review\EntrustTestReview.java                  | Java     |         24 |         13 |          4 |         41 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\review\ReportReview.java                       | Java     |         26 |         12 |          4 |         42 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\review\SchemeReview.java                       | Java     |         28 |         34 |         11 |         73 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\scheme\Modification.java                       | Java     |         18 |          5 |          4 |         27 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\scheme\Schedule.java                           | Java     |         15 |          3 |          3 |         21 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\scheme\Scheme.java                             | Java     |         17 |          6 |         10 |         33 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\scheme\SchemeContent.java                      | Java     |         32 |         22 |          4 |         58 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\testcase\Testcase.java                         | Java     |         27 |         12 |         15 |         54 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\testissue\TestIssueList.java                   | Java     |         29 |         14 |         17 |         60 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-common\src\main\java\com\njustc\onlinebiz\common\model\test\testrecord\TestRecordList.java                 | Java     |         34 |         19 |         22 |         75 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\pom.xml                                                                                           | XML      |         82 |          0 |         14 |         96 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\ContractServiceApplication.java                       | Java     |          9 |          0 |          5 |         14 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\configuration\ContractServiceConfiguration.java       | Java     |         15 |          0 |          5 |         20 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\controller\ContractController.java                    | Java     |        125 |         12 |         19 |        156 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\controller\ContractControllerAdvice.java              | Java     |         64 |          0 |         12 |         76 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\dao\ContractDAO.java                                  | Java     |         15 |         54 |         13 |         82 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\dao\MongoContractDAO.java                             | Java     |         79 |          4 |         17 |        100 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\exception\ContractCreateFailureException.java         | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\exception\ContractDAOFailureException.java            | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\exception\ContractInvalidStageException.java          | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\exception\ContractNotFoundException.java              | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\exception\ContractPermissionDeniedException.java      | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\service\ContractService.java                          | Java     |         23 |         95 |         18 |        136 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\java\com\njustc\onlinebiz\contract\service\DefaultContractService.java                   | Java     |        302 |         25 |         26 |        353 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\resources\application-dev.yml                                                            | YAML     |          4 |          0 |          1 |          5 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\resources\application-prod.yml                                                           | YAML     |          4 |          0 |          1 |          5 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\main\resources\application.yml                                                                | YAML     |         27 |          0 |          3 |         30 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\test\java\com\njustc\onlinebiz\contract\DefaultContractServiceTest.java                       | Java     |        299 |          0 |         54 |        353 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-contract\src\test\java\com\njustc\onlinebiz\contract\MongoContractDAOIT.java                               | Java     |        130 |          0 |         25 |        155 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-discovery\pom.xml                                                                                          | XML      |         26 |          0 |          6 |         32 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-discovery\src\main\java\com\njustc\onlinebiz\discovery\DiscoveryServiceApplication.java                    | Java     |         11 |          0 |          3 |         14 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-discovery\src\main\resources\application.yml                                                               | YAML     |         14 |          1 |          3 |         18 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\pom.xml                                                                                           | XML      |        109 |          0 |         18 |        127 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\DocumentServiceApplication.java                            | Java     |          9 |          0 |          3 |         12 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\configuration\DocConfig.java                               | Java     |         14 |          0 |          5 |         19 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\controller\DownloadController.java                         | Java     |        202 |        121 |         22 |        345 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\controller\DownloadControllerAdvice.java                   | Java     |         35 |         22 |          8 |         65 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\dao\OSSProvider.java                                       | Java     |         40 |         16 |          7 |         63 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\exception\DownloadDAOFailureException.java                 | Java     |          6 |          0 |          3 |          9 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\exception\DownloadNotFoundException.java                   | Java     |          6 |          0 |          3 |          9 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\exception\DownloadPermissionDeniedException.java           | Java     |          6 |          0 |          3 |          9 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\EntrustQuoteDoc.java                                 | Java     |         47 |         12 |          6 |         65 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS002.java                                           | Java     |        481 |         20 |         22 |        523 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS003\GongNeng.java                                  | Java     |         35 |          0 |          7 |         42 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS003\JS003.java                                     | Java     |         78 |          2 |         14 |         94 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS003\ZiGongNeng.java                                | Java     |         24 |          0 |          6 |         30 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS004.java                                           | Java     |        111 |          5 |         12 |        128 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS005.java                                           | Java     |         35 |          2 |          5 |         42 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS006.java                                           | Java     |        131 |          1 |          5 |        137 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS007.java                                           | Java     |        218 |          3 |         25 |        246 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS008.java                                           | Java     |         25 |          1 |          7 |         33 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS009.java                                           | Java     |         25 |          1 |          6 |         32 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS010.java                                           | Java     |         59 |          1 |          6 |         66 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS011.java                                           | Java     |         25 |          1 |          8 |         34 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS012.java                                           | Java     |        104 |          0 |          8 |        112 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS013.java                                           | Java     |         85 |          1 |          6 |         92 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\model\JS014.java                                           | Java     |        180 |          2 |         12 |        194 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceEntrustQuote.java                        | Java     |        179 |         20 |         30 |        229 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS001.java                               | Java     |        123 |         21 |         20 |        164 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS002.java                               | Java     |        440 |         28 |         44 |        512 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS003.java                               | Java     |        128 |         31 |         22 |        181 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS004.java                               | Java     |        638 |         38 |         60 |        736 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS005.java                               | Java     |        135 |         24 |         19 |        178 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS006.java                               | Java     |        379 |         80 |         68 |        527 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS007.java                               | Java     |        470 |         48 |         79 |        597 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS008.java                               | Java     |        120 |         24 |         24 |        168 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS009.java                               | Java     |        133 |         24 |         22 |        179 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS010.java                               | Java     |        196 |         29 |         36 |        261 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS011.java                               | Java     |        121 |         23 |         22 |        166 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS012.java                               | Java     |        305 |         34 |         35 |        374 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS013.java                               | Java     |        168 |         29 |         34 |        231 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\DocServiceJS014.java                               | Java     |        285 |         30 |         40 |        355 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\service\RestRequestService.java                            | Java     |        206 |         75 |         26 |        307 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\util\HeaderFooter.java                                     | Java     |         92 |         10 |          8 |        110 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\java\com\njustc\onlinebiz\doc\util\ItextUtils.java                                       | Java     |        410 |        182 |         23 |        615 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\main\resources\application.yml                                                                | YAML     |         14 |          3 |          3 |         20 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\EntrustQuoteDocTest.java                                   | Java     |         34 |          0 |          6 |         40 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS001Test.java                                             | Java     |         16 |          0 |          5 |         21 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS002Test.java                                             | Java     |        157 |          2 |          8 |        167 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS003Test.java                                             | Java     |         48 |          0 |         11 |         59 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS004Test.java                                             | Java     |         53 |          0 |          7 |         60 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS005Test.java                                             | Java     |         20 |          0 |          7 |         27 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS006Test.java                                             | Java     |         54 |          0 |          5 |         59 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS007Test.java                                             | Java     |        102 |          0 |         12 |        114 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS008Test.java                                             | Java     |         28 |          0 |          7 |         35 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS009Test.java                                             | Java     |         26 |          0 |          6 |         32 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS010Test.java                                             | Java     |         32 |          0 |          6 |         38 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS011Test.java                                             | Java     |         29 |          0 |          7 |         36 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS012Test.java                                             | Java     |         53 |          0 |         10 |         63 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS013Test.java                                             | Java     |         36 |          0 |          6 |         42 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\JS014Test.java                                             | Java     |         91 |          0 |          7 |         98 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\RestRequestTest.java                                       | Java     |        151 |         32 |         15 |        198 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\java\com\njustc\onlinebiz\doc\dao\OSSProviderTest.java                                   | Java     |         50 |          6 |          5 |         61 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-document\src\test\resources\application.yml                                                                | YAML     |          6 |          0 |          2 |          8 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\pom.xml                                                                                            | XML      |         82 |          1 |         13 |         96 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\EntrustServiceApplication.java                          | Java     |         11 |          0 |          6 |         17 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\controller\EntrustController.java                       | Java     |        192 |         24 |         28 |        244 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\controller\EntrustControllerAdvice.java                 | Java     |         39 |          0 |          9 |         48 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\dao\EntrustDAO.java                                     | Java     |         26 |        123 |         25 |        174 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\dao\MongoEntrustDAO.java                                | Java     |        144 |          9 |         32 |        185 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\exception\EntrustDAOFailureException.java               | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\exception\EntrustInvalidArgumentException.java          | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\exception\EntrustInvalidStageException.java             | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\exception\EntrustNotFoundException.java                 | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\exception\EntrustPermissionDeniedException.java         | Java     |          6 |          0 |          4 |         10 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\service\DefaultEntrustService.java                      | Java     |        350 |         33 |         31 |        414 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\java\com\njustc\onlinebiz\entrust\service\EntrustService.java                             | Java     |         27 |        163 |         26 |        216 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\resources\application-dev.yml                                                             | YAML     |          4 |          0 |          1 |          5 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\resources\application-prod.yml                                                            | YAML     |          4 |          0 |          1 |          5 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\main\resources\application.yml                                                                 | YAML     |         22 |          0 |          3 |         25 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\test\java\com\njustc\onlinebiz\entrust\DefaultEntrustServiceTest.java                          | Java     |        526 |         13 |         83 |        622 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-entrust\src\test\java\com\njustc\onlinebiz\entrust\MongoEntrustDAOIT.java                                  | Java     |        317 |          9 |         48 |        374 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-gateway\Dockerfile                                                                                         | Docker   |          3 |          0 |          3 |          6 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-gateway\pom.xml                                                                                            | XML      |         34 |          0 |          7 |         41 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-gateway\src\main\java\com\njustc\onlinebiz\gateway\GatewayServiceApplication.java                          | Java     |         13 |          0 |          5 |         18 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-gateway\src\main\java\com\njustc\onlinebiz\gateway\filter\AddIdentityGatewayFilterFactory.java             | Java     |         89 |         12 |         15 |        116 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-gateway\src\main\resources\application-dev.yml                                                             | YAML     |          0 |          0 |          1 |          1 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-gateway\src\main\resources\application-prod.yml                                                            | YAML     |          0 |          0 |          1 |          1 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-gateway\src\main\resources\application.yml                                                                 | YAML     |         90 |          2 |         10 |        102 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\pom.xml                                                                                             | XML      |         82 |          0 |         14 |         96 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\SampleServiceApplication.java                             | Java     |          9 |          0 |          3 |         12 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\configuration\SampleServiceConfiguration.java             | Java     |         13 |          0 |          5 |         18 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\controller\SampleController.java                          | Java     |         45 |          4 |          9 |         58 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\controller\SampleControllerAdvice.java                    | Java     |         47 |          0 |          8 |         55 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\dao\MongoSampleDAO.java                                   | Java     |         69 |          3 |         16 |         88 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\dao\SampleDAO.java                                        | Java     |         11 |         29 |         10 |         50 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\exception\SampleDAOFailureException.java                  | Java     |          4 |          0 |          3 |          7 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\exception\SampleInvalidArgumentException.java             | Java     |          4 |          0 |          3 |          7 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\exception\SampleInvalidStageException.java                | Java     |          4 |          0 |          3 |          7 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\exception\SampleNotFoundException.java                    | Java     |          4 |          0 |          3 |          7 |
| c:\Users\syhie\IdeaProjects\onlinebiz\onlinebiz-sample\src\main\java\com\njustc\onlinebiz\sample\exception\SamplePermissionDeniedException.java            | Java     |          4 |          0 |          3 |          7 |
